"codigo","nombre","codigo_departamento"
54,"LA UNION",5
133,"HATILLO DE LOBA",13
136,"RIO VIEJO",13
155,"OICATA",15
156,"RAQUIRA",15
191,"BOLIVAR",19
193,"GUACHENÉ",19
204,"LA JAGUA DE IBIRICO",20
233,"COTORRA",23
235,"MOÑITOS",23
252,"COGUA",25
276,"RIOQUITO",27
278,"UNGUIA",27
503,"AMAGA",5
504,"ANORI",5
5040,"LEJANIAS",50
512,"CACERES",5
515,"CAROLINA",5
519,"CISNEROS",5
524,"EBEJICO",5
525,"EL BAGRE",5
531,"GOMEZ PLATA",5
536,"ITAGUI",5
538,"LA ESTRELLA",5
539,"LA PINTADA",5
544,"MARINILLA",5
548,"MUTATA",5
5480,"TEORAMA",54
549,"NECOCLI",5
566,"SAN LUIS",5
567,"SAN ROQUE",5
569,"SANTO DOMINGO",5
579,"TARAZA",5
589,"YOLOMBO",5
664,"LA VIRGINIA",66
685,"OIBA",68
704,"LA UNION",70
732,"COELLO",73
761,"BOLIVAR",76
764,"LA UNION",76
813,"FORTUL",81
852,"PALMAR DE VARELA",8
853,"SABANALARGA",85
854,"TAMARA",85
856,"PONEDERA",8
877,"SUAN",8
952,"MIRAFLORES",95
1303,"ALTOS DEL ROSARIO",13
1314,"CALAMAR",13
1316,"CANTAGALLO",13
1343,"MAGANGUE",13
1344,"MARGARITA",13
1349,"NOROSÌ",13
1358,"REGIDOR",13
1362,"SAN CRISTOBAL",13
1365,"SAN FERNANDO",13
1367,"SAN PABLO",13
1376,"SOPLAVIENTO",13
1378,"TALAIGUA NUEVO",13
1381,"TIQUISIO (PUERTO RICO)",13
1509,"BERBEO",15
1518,"CHISCAS",15
1538,"LA CAPILLA",15
1548,"MUZO",15
1558,"QUIPAMA",15
1569,"SANTA MARIA",15
1572,"SATIVANORTE",15
1574,"SIACHOQUE",15
1579,"TASCO",15
1581,"TIPACOQUE",15
1582,"TOPAGA",15
1705,"ARANZAZU",17
1738,"LA DORADA",17
1815,"CARTAGENA DEL CHAIRA",18
1841,"LA MONTANITA",18
1846,"MILAN",18
1861,"SAN JOSE DEL FRAGUA",18
1886,"VALPARAISO",18
1905,"ARGELIA",19
1911,"BUENOS AIRES",19
1913,"CAJIBIO",19
1929,"FLORENCIA",19
1945,"MERCADERES",19
1976,"SOTARA",19
1978,"SUAREZ",19
2006,"BOSCONIA",20
2025,"EL PASO",20
2031,"GONZALEZ",20
2055,"PELAYA",20
2057,"PUEBLO BELLO",20
2071,"SAN ALBERTO",20
2075,"SAN DIEGO",20
2077,"SAN MARTIN",20
2309,"CANALETE",23
2335,"LA APARTADA",23
2357,"PUEBLO NUEVO",23
2358,"PUERTO LIBERTADOR",23
2366,"SAHAGUN",23
2367,"SAN ANDRES SOTAVENTO",23
2504,"ANOLAIMA",25
2512,"CABRERA",25
2526,"EL ROSAL",25
2529,"FUSAGASUGA",25
2532,"GUADUAS",25
2543,"MADRID",25
2553,"PARATEBUENO",25
2558,"PULI",25
2574,"SIBATE",25
2705,"ATRATO",27
